BookkeepingNumber;Status;Date;ValueDate;Name;PartyName;PartyIBAN;Description;RemittanceInfo;Amount;CreditDebit;IsDebit;Debit;Credit;Currency;AmountExclTax;AmountTax;TaxRate;Recipient;InvestmentType;Number;Category;Type;Fund;NumberOfShares;Fees;IBAN;EntryReference;Reference;AccountServicer;BankTxCode;OriginalCurrency;OriginalAmount;ExchangeRate
;COMPLETED;02.01.2025;02.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;2.50;DBIT;true;2.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;04793116-8fa4-40b0-8b1e-233bf2286d27;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;03.01.2025;02.01.2025;Boreal Coffee Shop;Boreal Coffee Shop;;Boreal Coffee Shop;;57.50;DBIT;true;57.50;0.00;CHF;0.00;0.00;0.00;Boreal Coffee Shop;CARD_PAYMENT;45dcc926-a7ff-4932-a74a-80d04320b7d7;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;08.01.2025;08.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;4.30;DBIT;true;4.30;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;c84412ef-4676-45c7-b37f-0b0468892192;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;09.01.2025;08.01.2025;Obsidian;Obsidian;;Obsidian;;9.14;DBIT;true;9.14;0.00;CHF;0.00;0.00;0.00;Obsidian;CARD_PAYMENT;b463e0d5-d698-43c1-9a78-39c00e9a35ab;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;09.01.2025;09.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;4.50;DBIT;true;4.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;c653b628-4b4f-4acb-9ad0-9e21dbdc3086;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;09.01.2025;09.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;0.50;DBIT;true;0.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;d6c1caaa-1e59-40b2-9238-d319f398a517;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;10.01.2025;09.01.2025;Selecta;Selecta;;Selecta;;3.90;DBIT;true;3.90;0.00;CHF;0.00;0.00;0.00;Selecta;CARD_PAYMENT;0ceadd57-b46f-4206-b32e-18b6ee407dc8;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;10.01.2025;09.01.2025;Selecta;Selecta;;Selecta;;3.10;DBIT;true;3.10;0.00;CHF;0.00;0.00;0.00;Selecta;CARD_PAYMENT;3a634fac-c6b5-4ccf-985c-e949285880ad;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.01.2025;16.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;0.75;DBIT;true;0.75;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;463ad17d-d07b-4037-a3b6-4f9e80fcfe11;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.01.2025;17.01.2025;Payment from Frederic Yvan Joseph Jacquet;Payment from Frederic Yvan Joseph Jacquet;;Payment from Frederic Yvan Joseph Jacquet;;250.00;CRDT;false;0.00;250.00;CHF;0.00;0.00;0.00;;TOPUP;9ea529c2-baff-43f5-8607-8dbc4a18b372;Uncategorized;TOPUP;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.01.2025;16.01.2025;Migros;Migros;;Migros;;6.85;DBIT;true;6.85;0.00;CHF;0.00;0.00;0.00;Migros;CARD_PAYMENT;cba37ca4-7ef9-4da8-9fa5-71a44eae94f3;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;18.01.2025;18.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;3.50;DBIT;true;3.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;22201b53-e484-4690-baaf-93b6f89cf6b2;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.01.2025;18.01.2025;Coop Pronto;Coop Pronto;;Coop Pronto;;8.30;DBIT;true;8.30;0.00;CHF;0.00;0.00;0.00;Coop Pronto;CARD_PAYMENT;d2afd893-917a-4a26-a256-b12956602909;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;25.01.2025;25.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;3.55;DBIT;true;3.55;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;09aa1f5e-23f0-441b-8823-6f84f7d45d9d;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;25.01.2025;25.01.2025;EasyPark;EasyPark;;EasyPark;;1.29;DBIT;true;1.29;0.00;CHF;0.00;0.00;0.00;EasyPark;CARD_PAYMENT;637f1f79-2cfc-4e1e-a768-b006773ef95b;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;26.01.2025;26.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;da90f92e-84f1-4d6e-8234-2f6aef25bb12;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;26.01.2025;26.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;a44551c1-5b69-4fb4-a3bc-bca26060dcf7;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;27.01.2025;27.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;7679f3e6-5d36-4e39-ad9b-ea1615e4ec5c;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;27.01.2025;26.01.2025;Thermalbad Brigerbad;Thermalbad Brigerbad;;Thermalbad Brigerbad;;40.00;DBIT;true;40.00;0.00;CHF;0.00;0.00;0.00;Thermalbad Brigerbad;CARD_PAYMENT;879becf0-2c8a-4fea-b483-afdfa8d832f3;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;28.01.2025;26.01.2025;SBB CFF FFS;SBB CFF FFS;;SBB CFF FFS;;1.00;DBIT;true;1.00;0.00;CHF;0.00;0.00;0.00;SBB CFF FFS;CARD_PAYMENT;5ef864bb-7a6f-41da-81b1-11d15559093a;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;28.01.2025;27.01.2025;Al Volo Pizzeria;Al Volo Pizzeria;;Al Volo Pizzeria;;32.00;DBIT;true;32.00;0.00;CHF;0.00;0.00;0.00;Al Volo Pizzeria;CARD_PAYMENT;ff6a8980-9031-40f3-bbb7-a8297557ae6e;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;30.01.2025;30.01.2025;Premium plan fee;Premium plan fee;;Premium plan fee;;110.00;DBIT;true;110.00;0.00;CHF;0.00;0.00;0.00;Premium plan fee;FEE;488cc594-e424-4d91-9cfe-8d526bfa3f7a;Uncategorized;FEE;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;31.01.2025;31.01.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;973162cc-bf63-4f20-9e87-22b973ac2262;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
