BookkeepingNumber;Status;Date;ValueDate;Name;PartyName;PartyIBAN;Description;RemittanceInfo;Amount;CreditDebit;IsDebit;Debit;Credit;Currency;AmountExclTax;AmountTax;TaxRate;Recipient;InvestmentType;Number;Category;Type;Fund;NumberOfShares;Fees;IBAN;EntryReference;Reference;AccountServicer;BankTxCode;OriginalCurrency;OriginalAmount;ExchangeRate
;COMPLETED;24.02.2021;25.02.2021;AMZN Mktp FR*MM0JO6FE4, AMAZON.FR LU;AMZN Mktp FR*MM0JO6FE4, AMAZON.FR LU;;AMZN Mktp FR*MM0JO6FE4, AMAZON.FR LU - CHF;;122.10;DBIT;true;122.10;0.00;CHF;0.00;0.00;0.00;AMZN Mktp FR*MM0JO6FE4, AMAZON.FR LU;;6c65c919-d179-44de-bc99-d184e250f039;Uncategorized;;;0;2.10;;;;;;CHF;120.02;0.00
;COMPLETED;25.02.2021;26.02.2021;WWW.APPLELADEN.CH, LUZERN CH;WWW.APPLELADEN.CH, LUZERN CH;;WWW.APPLELADEN.CH, LUZERN CH - Frais de traitement 1.75% CHF 2.10;;356.90;DBIT;true;356.90;0.00;CHF;0.00;0.00;0.00;WWW.APPLELADEN.CH, LUZERN CH;;4bbdde5f-5f85-4320-80da-937f6514da47;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;27.02.2021;01.03.2021;Avira Antivir, Avira.com DE;Avira Antivir, Avira.com DE;;Avira Antivir, Avira.com DE - Ordinateurs et logiciels;;8.10;DBIT;true;8.10;0.00;CHF;0.00;0.00;0.00;Avira Antivir, Avira.com DE;;377bbe70-c6df-411d-b71f-1412868adb4b;Uncategorized;;;0;0.15;;;;;;CHF;7.95;0.00
;COMPLETED;28.02.2021;01.03.2021;NETFLIX.COM, 866-579-7172 NL;NETFLIX.COM, 866-579-7172 NL;;NETFLIX.COM, 866-579-7172 NL - Frais de traitement 1.75% CHF 0.15;;16.90;DBIT;true;16.90;0.00;CHF;0.00;0.00;0.00;NETFLIX.COM, 866-579-7172 NL;;b21858cd-3548-458e-ad9c-48e7734f9726;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;27.02.2021;01.03.2021;MCDONALDS MONTREUX, MONTREUX CH;MCDONALDS MONTREUX, MONTREUX CH;;MCDONALDS MONTREUX, MONTREUX CH - Télévision et radio;;14.40;DBIT;true;14.40;0.00;CHF;0.00;0.00;0.00;MCDONALDS MONTREUX, MONTREUX CH;;e9eecd09-243a-4cb3-ad0d-93f111b01280;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;02.03.2021;03.03.2021;Coop-4225 Montreux, Montreux CH;Coop-4225 Montreux, Montreux CH;;Coop-4225 Montreux, Montreux CH - Restaurants fast food;;65.10;DBIT;true;65.10;0.00;CHF;0.00;0.00;0.00;Coop-4225 Montreux, Montreux CH;;03ca5479-98a4-4476-b3fa-95bbff0060b2;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;03.03.2021;04.03.2021;AWS EMEA, aws.amazon.co LU;AWS EMEA, aws.amazon.co LU;;AWS EMEA, aws.amazon.co LU - Supermarchés, alimentation;;2.40;DBIT;true;2.40;0.00;CHF;0.00;0.00;0.00;AWS EMEA, aws.amazon.co LU;;75edc4b4-2e8c-468d-bc0f-fd4b612de8be;Uncategorized;;;0;0.00;;;;;;USD;2.49;0.93
;COMPLETED;03.03.2021;04.03.2021;Coop-4225 Montreux, Montreux CH;Coop-4225 Montreux, Montreux CH;;Coop-4225 Montreux, Montreux CH - Frais de traitement 1.75% CHF 0.05;;182.85;DBIT;true;182.85;0.00;CHF;0.00;0.00;0.00;Coop-4225 Montreux, Montreux CH;;d48d1e94-95b4-483b-8ad7-5dc5a7169b2b;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;03.03.2021;04.03.2021;BACKBLAZE, HTTPSWWW.BACK US;BACKBLAZE, HTTPSWWW.BACK US;;BACKBLAZE, HTTPSWWW.BACK US - Supermarchés, alimentation;;11.20;DBIT;true;11.20;0.00;CHF;0.00;0.00;0.00;BACKBLAZE, HTTPSWWW.BACK US;;58ede36a-b9a6-42e0-92ae-d9c407c9f786;Uncategorized;;;0;0.00;;;;;;USD;11.78;0.93
;COMPLETED;04.03.2021;05.03.2021;APPLE.COM/BILL, ITUNES.COM IE;APPLE.COM/BILL, ITUNES.COM IE;;APPLE.COM/BILL, ITUNES.COM IE - Frais de traitement 1.75% CHF 0.20;;27.00;DBIT;true;27.00;0.00;CHF;0.00;0.00;0.00;APPLE.COM/BILL, ITUNES.COM IE;;8cc723c5-96ef-4fef-92af-02ad74902031;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
